Congress,Chamber,Committee,Date,Title,FileName,Link
114th Congress (2015 - 2016),House Hearings,Committee on Appropriations,2/10/2016,"b'House Hearing, 114th Congress, Part 6 - ENERGY AND WATER DEVELOPMENT APPROPRIATIONS FOR 2017'",CHRG-114hhrg20729.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20729/html/CHRG-114hhrg20729.htm
114th Congress (2015 - 2016),House Hearings,Committee on Foreign Affairs,7/12/2016,"b'House Hearing, 114th Congress - PAKISTAN: FRIEND OR FOE IN THE FIGHT AGAINST TERRORISM?'",CHRG-114hhrg20742.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20742/html/CHRG-114hhrg20742.htm
114th Congress (2015 - 2016),House Hearings,Committee on Foreign Affairs,7/14/2016,"b'House Hearing, 114th Congress - U.S. HUMANITARIAN ASSISTANCE TO SYRIA: MINIMIZING RISKS AND IMPROVING OVERSIGHT'",CHRG-114hhrg20748.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20748/html/CHRG-114hhrg20748.htm
114th Congress (2015 - 2016),House Hearings,Committee on Foreign Affairs,7/14/2016,"b'House Hearing, 114th Congress - CALLING FOR THE GLOBAL REPEAL OF BLASPHEMY LAWS'",CHRG-114hhrg20750.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20750/html/CHRG-114hhrg20750.htm
114th Congress (2015 - 2016),House Hearings,Committee on Armed Services,5/26/2016,"b'House Hearing, 114th Congress - [h.a.s.c. No. 114-124] Navy Force Structure and Readiness: Perspectives from the Fleet'",CHRG-114hhrg20792.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20792/html/CHRG-114hhrg20792.htm
114th Congress (2015 - 2016),House Hearings,Congressional-Executive Commission on China,5/24/2016,"b'House Hearing, 114th Congress - THE LONG ARM OF CHINA: GLOBAL EFFORTS TO SILENCE CRITICS FROM TIANANMEN TO TODAY'",CHRG-114hhrg20804.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20804/html/CHRG-114hhrg20804.htm
114th Congress (2015 - 2016),House Hearings,"Committee on Science, Space, and Technology",12/10/2015,"b""House Hearing, 114th Congress - AN OVERVIEW OF THE NATION'S WEATHER SATELLITE PROGRAMS AND POLICIES""",CHRG-114hhrg20825.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20825/html/CHRG-114hhrg20825.htm
114th Congress (2015 - 2016),House Hearings,"Committee on Science, Space, and Technology",1/8/2016,"b'House Hearing, 114th Congress - CYBERSECURITY: WHAT THE FEDERAL GOVERNMENT CAN LEARN FROM THE PRIVATE SECTOR'",CHRG-114hhrg20826.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20826/html/CHRG-114hhrg20826.htm
114th Congress (2015 - 2016),House Hearings,"Committee on Science, Space, and Technology",2/10/2016,"b'House Hearing, 114th Congress - MIDNIGHT REGULATIONS: EXAMINING EXECUTIVE BRANCH OVERREACH'",CHRG-114hhrg20830.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20830/html/CHRG-114hhrg20830.htm
114th Congress (2015 - 2016),House Hearings,"Committee on Science, Space, and Technology",2/25/2016,"b'House Hearing, 114th Congress - THE SPACE LEADERSHIP PRESERVATION ACT AND THE NEED FOR STABILITY AT NASA'",CHRG-114hhrg20832.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20832/html/CHRG-114hhrg20832.htm
